"id";"title";"description";"created_at";"cached_votes_total";"cached_votes_up";"cached_votes_down";"comments_count";"hot_score";"confidence_score"
"15";"Limpieza de las calles";"<p>Buscar la manera de que los ciudadanos mantengan limpias las calles de la ciudad. No puede ser que existan barrios enteros llenos de cacas de perro y colillas. Habría que sancionar estos comportamientos. </p>

<p>Quizás los controladores del S.E.R. podrían multar comportamientos incívicos como dejar la caca del perro en mitad de la acera o tirar basura a la calle.</p>

<p>Saludos a todos</p>
";"07/09/2015 11";"1085";"1030";"55";"44";"873390190";"92557"
"16";"NO a los ruidos. Reducir el número de decibelios permitido.";"<p>Muchos vecinos trabajamos todo el día y regresamos a nuestras casas para descansar. Muchas veces esto es imposible porque la ley actual permite que se ponga la música alta a horas poco apropiadas (noches, hora de la siesta, fines de semana...).

Propongo que se<strong> baje el número de decibelios permitidos</strong>, tanto para los<strong> bares y discotecas</strong> como para los <strong>particulares</strong>. Y que se <strong>facilite la denuncia</strong> de este tipo de actividades y se <strong>endurezcan las sanciones</strong>.</p>

<p> Ese vecino que pone la música alta a todas horas, incluso en la hora de la siesta, por la noche... esa otra persona que se duerme con la radio puesta a todo volumen, o la televisión, el joven y no tan joven que decide aparcar debajo de tu terraza con la música del coche a todo volumen, la motocicleta con el escape roto...</p>

<p>Queremos descansar. NO más ruidos.</p>
";"07/09/2015 11";"411";"354";"57";"63";"866546046";"25581"
"17";"Transporte Público Gratuito en días de Alta Contaminación";"<p>Habilitar el transporte público gratuito en Madrid los días que la contaminación sobrepase los límites permitidos.</p>

<p>Esta es una medida de caracter urgente que ya se realiza en otras ciudades europeas cuando los índices de contaminación son muy elevados.</p>

<p> </p>

<p>Estos días no se contabilizarían en los abonos mensuales. </p>
";"07/09/2015 12";"1290";"1071";"219";"24";"869422871";"70735"
"18";"devolver las aceras a los peatones";"<p>me gustaria que las aceras volvieran a ser para uso exclusivamente peatonal.que lo que gallardon nos quito nos sea devuelto a los que ni queremos ni podemos utilizar motos, y que ahora campan a sus anchas por las aceras.el otro dia casi fui atropellado por una .</p>

<p>que se les reserve area de aparcamiento en el aparcamiento para coches,por ejemplo el 10% pagando la parte proporcional al espacio ocupado .gracias .</p>
";"07/09/2015 12";"190";"157";"33";"12";"862495802";"10246"
"19";"Apps de servicios municipales disponibles en la web municipal.";"<p>Sería interesante que cuando el Ayuntamiento contrata con un tercero el desarrollo de una aplicación para los ciudadanos (bicimad, contaminación, EMT...) no olvidase que algunos madrileños no usamos los servicios de las grandes empresas de internet para manejar nuestro móviles (appStore, Googleplay). Me he dirigido en numerosas ocasiones a los departamentos del Ayuntamiento interesados y la respuesta siempre es la misma: no podemos servir la aplicación fuera de la tienda de apps de la macroempresa (Google Inc, Apple).</p>

<p>Y digo yo, ¿es necesario estar registrado en esas empresas y ceder mis datos para acceder a información municipal?</p>

<p>Y me respondo: No, no es necesario, todo depende de la política tecnológica por la que se apueste. Ojalá cambie el modelo y la nueva corporación de servicios a todos, y no sólo a las mayorías que han decidido vender su privacidad.</p>

<p> </p>

<p>Muchas Gracias.</p>

<p> </p>
";"07/09/2015 12";"58";"46";"12";"6";"857428939";"2696"
"20";"Abono Anual Uso Libre (Abono Deporte Madrid)";"<p>Tener la posibilidad de un Abono Anual de Uso Libre para las instalaciones deportivas como ha existido en los últimos años y en las mismas condiciones. Este año ha sido suprimido por Abonos mensuales elevando el coste a las actividades deportivas.</p>

<p>Un Saludo.</p>
";"07/09/2015 12";"133";"118";"15";"5";"863041405";"9138"
"21";"Sistema de previo aviso a través de watsapp sobre multas y retirada de coches";"<p>Se trata de habilitar un sistema para facilitar un aviso previo a través del teléfono vía por ejemplo watsapp de infracción leve (como casos que no interrumpan la circulación viaria y sobre todo referido al aparcamiento, doble fila, etc...) a los ciudadanos de Madrid que conlleve la posibilidad de que el usuario infractor esté informado y pueda acudir con celeridad (habilitar un tiempo determinado ya sean 5 o diez munitos) para retirar su vehículo y evitar la sanción (este método podría a la vez tener un límite avisos que pudiera ser ampliado o disminuido en base a la no comisión de infracciones, como ya se da en el carnet por puntos). A la vez implantar ese mismo método cuando un vehículo es o va a ser retirado de las vías por las grúas municipales.</p>

<p>Se conseguiría trasladar al ciudadano que su Ayuntamiento (como muchas veces se cree) no está para multar o sancionar haciendo cumplir las leyes de tráfico sino también está para informarle y consecuentemente  ser más empático y cercano en este tipo de situaciones que se producen todos los días.</p>
";"07/09/2015 12";"158";"64";"94";"14";"839183713";"-1215"
"22";"Abono transporte gratuito para los menores de 14 años";"<p>La gratuidad del transporte público para los menores de 14 años puede incentivar y educar en el uso de ese transporte tanto a los niños como a los padres que ahora llevan a sus hijos en coche al colegio.</p>

<p> </p>
";"07/09/2015 12";"140";"90";"50";"7";"855599742";"2571"
"23";"Farolas LED";"<p>Las farolas que se instalaron hace unos meses en algunas zonas (concretamente San Blas, en mi caso) me parecen una buena idea para reducir el consumo energético, además de la contaminación lumínica; se nota bastante.</p>

<p>Pero tienen un problema: iluminan muy poco las zonas circundantes. Caminar a partir de cierta hora y comprobar que hay muchas mas zonas de sombra que antes, es inquietante. A unos quince metros de una farola podría perfectamente permanecer alguien de pie que costaría bastante distinguir (con buena vista, no me imagino alguien mas mayor o con peor vista que yo)</p>

<p>Y la solución tampoco es aumentar las farolas creo, pues el radio de acción de éstas es tan limitado que probablemente harían falta más de las que compensarían el ahorro energético.</p>
";"07/09/2015 12";"896";"847";"49";"13";"872614177";"75435"
"24";"Velocidad y señalización adecuada en calles y carreteras";"<p>Creo que sería de gran ayuda al medio ambiente el tener un apartado donde los ciudadanos pudiéramos avisar de sitios donde haya señales contradictorias y zonas en las que la velocidad máxima de la vía varía sin sentido aparente.</p>

<p>Respecto a esto último, concretamente en los túneles de la M-30, las salidas de este hacia la calle que se reducen de 70 km/h a 30 o 50 kms/h hacen que se produzcan frenazos, atascos y por consiguiente la bajada de marcha y mayor contaminación al volver a acelerar. Todas estas salidas son cuesta arriba, hay que tomarlos con marchas bajas y por ello son puntos con alta concentración de CO2, lo que perjudica a los vecinos cercanos a dichas salidas. Creo que se debería estudiar estos puntos para poner la bajada de la velocidad a la salida de estos, a la finalización de la cuesta arriba. Un ejemplo de ello está en la salida del bypass dede la A3 a la M30 descubierta (Pte Vallecas).</p>
";"07/09/2015 12";"83";"75";"8";"1";"861691175";"6054"
"25";"Sensores de Contaminación para Vehículos Contaminantes";"<p>Hoy en día los costes de un sensor de contaminación con GPS integrado conectado vía wifi/4G en todos los vehículos serían bastante bajos. Popongo que se incentive por ley/ordenanza la instalación en los vehículos que circulan por nuestra ciudad para hacer un cálculo objectivo de cuanto contamina un vehículo y dónde lo hace. </p>

<p>Es posible que esto pueda vulnerar el derecho a la privacidad, sin embargo me parece mucho más importante el derecho a respirar aire puro. Según este artículo (http://www.elmundo.es/blogs/elmundo/por-amor-al-aire/2015/03/05/la-otra-verdad-incomoda.html), la contaminación mata en la UE a más de 400.000 personas al año sin contar todos los problemas de salud no directamente letales. Quién quiera tener un vehículo contaminante tendrá que sacrificar su privacidad por el bien de todos, de lo contrario tendrá que abstenerse de usar uno en nuestra ciudad.</p>

<p>Cuando se recojan los datos, ya podremos incentivar/sancionar acorde con el interés general de reducir la contaminación y disfrutar del verdadero aire que todos conocemos cuando vamos a la Sierra.</p>
";"07/09/2015 12";"55";"35";"20";"3";"852866440";"954"
"26";"Autobuses EMT: Ruido y Contaminación";"<p>Los autobuses de la EMT que vayan haciendose viejos deberian sustituirse por autobuses menos ruidosos y no contaminantes.</p>
";"07/09/2015 12";"236";"207";"29";"22";"865114564";"15612"
"27";"Invitaciones para aparcar en zona SER";"<p>Para los usuarios que pagamos la cuota del Servicio Regulado de Estacionamiento nos sería muy util disponer de invitaciones para que los coches aparcasen en la zona SER de manera ""temporal"".</p>

<p>En Madrid muchos somos de fuera , y cuando vienen familiares, amigos a pasar unos días tienen muchos problemas para aparcar sin tener que estar preocupado por los límites horarios y el costo del mismo.</p>

<p>La propuesta va enfocada a que a los que pagan el SER y lo soliciten dispongan de X invitaciones que permitan aparcar a un coche durante un periodo de 24 horas en la zona SER.</p>

<p>Para que no sea un abuso y esté regulado se puede limitar a un número de invitaciones máximas al año.</p>
";"07/09/2015 12";"76";"45";"31";"8";"852415314";"828"
"28";"Acera sin motos, espacio pa todos";"<p>Propongo un debate alrededor de la siguiente propuesta que, con un coste mínimo, beneficiaría a todas las personas de Madrid al mejorar la accesibilidad, la calidad y la habitabilidad de las aceras, poniendo de manifiesto cuáles son las prioridades de la movilidad urbana: poner al centro las personas y las relaciones entre ellas en lugar de los vehículos</p>

<p><strong>Acción</strong>: Habilitar aparcamientos de motos en batería en la calzada en lugar de una o dos plazas de coches en correspondencia de las intersecciones.</p>

<p><strong>Objetivo</strong>: Una actuación permanente, incremental y al mismo tiempo concienciante para re-establecer las prioridades en la movilidad urbana, empezando por las personas que caminan (que somos todas).</p>

<p><strong>Cómo</strong>: Se podría empezar con una calle principal por cada barrio y poco a poco extender la actuación a todas las calles. En la calle afectada, la norma que permite el aparcamiento de motos en las aceras se suspendería, imponiendo la obligación de aparcar la moto en los espacios libres en calzada. El objetivo final sería llegar a abrogar esa normativa de manera gradual, generando el debate y la reflexión sobre las ventajas que una acera sin vehículos genera para todas las personas. Para las que usan la moto no habría mucha diferencia. Los más afectados serían los usuarios de coches que dispondrían de menos plazas para aparcar.</p>

<p><strong>Beneficios</strong>:</p>

<ul>
	<li>aumentaría la calidad y la seguridad de las aceras como espacios sin vehículos al sacar las motos aparcadas y al evitar sus maniobras a menudo realizadas a motor encendido.</li>
	<li>aumentaría la visibilidad de los peatones y su seguridad en el acto de cruzar la calle, ya que estos nuevos espacios para motos se situarían en la plaza de aparcamiento más próxima a un paso de cebra o a un semáforo, ampliando la permeabilidad visual.</li>
	<li>sería una actuación muy visible, de carácter permanente y que generaría debate sobre las nuevas prioridades de la movilidad urbana, que ponen al centro las personas y las relaciones entre ellas en lugar de los vehículos.</li>
</ul>

<p><strong>Costes</strong>:</p>

<ul>
	<li>bajos costes de actuación, ya que se necesitaría solo pintura, como ya se ha realizado en Valencia (ver aquí)</li>
	<li>posible hostilidad de los usuarios de coches, que habría que prevenir y neutralizar con una intensa campaña de comunicación</li>
</ul>

<p><strong>Comunicación</strong>: En tema de movilidad, Madrid empieza por las personas que caminan, ¡que somos todas!</p>
";"07/09/2015 12";"127";"82";"45";"11";"855635225";"2388"
"29";"Metro 24h";"<p>Seria muy buena opcion el metro 24h todos los dÍas, o por lo menos fines de semana 24h. Se reduciria los accidentes de alchol en fin de semana que la gente coge coche por que si no tiene que esperar hasta las 6 am que es cuando abre, y al final no cogen taxis y cogen el coche, ademas de que se crearian mas puestos de trabajo, mas seguridad mas conductores de metro etc.</p>
";"07/09/2015 12";"425";"310";"115";"21";"862106713";"14223"
"30";"Ley de Transportes publico 100% eléctricos";"<p>Deberian sacar por ley que el transporte publico fuera 100% electrico (no hibrido) esto se reduciria mucho la contaminacion en Madrid, por que un gran porcentaje de vehiculos en Madrid son taxis y autobus y muchos de ellos muy contaminantes todavia.</p>

<p>Deberian sacar por ley que fuera obligatorio que los taxis y autobuses sean electricos, por supuesto dando su margen de tiempo para que se vayan cambiando, y dando ayudas o subvenciones para que los taxis se vayan cambiando rapido al electrico.</p>

<p> </p>
";"07/09/2015 12";"164";"141";"23";"6";"863187643";"10145"
"31";"¿Cómo harías un Madrid más sostenible?";"<p>La semana que viene celebramos nuestra primera Semana Europea de La Movilidad con vosotros. El lema elegido para 2015 es ""Elige, cambia y combina cómo te mueves"". </p>

<p>Queremos saber cómo pensáis que podría mejorar Madrid en términos de sostenibilidad ambiental, y qué medidas os gustaría que pusiéramos en marcha desde el Ayuntamiento. ¡Somos todo orejas!</p>
";"07/09/2015 12";"96";"80";"16";"40";"861051058";"5333"
"33";"Tarjeta única ciudadana";"<p>En Zaragoza existe desde hace unos años una única tarjeta que junta las siguientes funciones (resumo las más importantes):</p>

<p>-Abono transportes</p>

<p>-Tarjeta de BiciMAD</p>

<p>-Carnet de piscina</p>

<p>-Carnet de Bibloteca</p>

<p>-Pago de zona azul</p>

<p>¿Qué hace falta en Madrid para poder implantar algo así?</p>
";"07/09/2015 12";"1645";"1530";"115";"57";"874706264";"131607"
"34";"Madrid necesita una limpieza en serio";"<p>Madrid necesita una limpieza en serio. Pintadas en los edificios, basura alrededor de los contenedores, papeles por los suelos, publicidad en los coches, excrementos caninos, mugre en las calles... Madrid está más sucio que nunca. Ni limpieza de choque ni nada de nada. Han limpiado 4 calles para la foto, ha habido más recursos públicos para publicitar una limpieza casi inexistente que en la propia limpieza. </p>
";"07/09/2015 12";"2237";"2142";"95";"106";"877130160";"196006"
"35";"Conexión L3 de Metro y Metrosur";"<p>No veo normal que sigan sin ponerse de acuerdo Ayuntamiento y Comunidad en dar continuidad al trazado de la L3 de Metro desde las cocheras que están justo enfrente de Getafe y conectar con El Casar (Metrosur/Renfe). El sur madrileño (Aranjuez, Parla, Valdemoro, Getafe..) sólo puede tomar el tren para ir al centro de Madrid o dar una vuelta impresionante hasta Alcorcón para tomar la L10 (sólo hay que consultar el mapa)</p>
";"07/09/2015 12";"69";"55";"14";"6";"858382493";"3268"
"36";"NIE para extranjeros casados con españoles sin requisitos";"<p>Lo que no hay derecho es que si un Español se enamora de una mujer Extranjera y conviven juntos en España y empadronados los dos en el mismo piso ya 5 años y casados en España no tenga derecho esa persona a un NIE por que piden de requisitos a parte de casarte o pareja de echo tener seguro medico y tener bastante dinero o que el Español tenga trabajo y ademas que cobre bien. Sino te deniegan el NIE.</p>

<p>Asi que si eres pobre y estas en el paro como muchos de los Españoles no te dejan que tu mujer tenga el nie para que pueda tener una asistencia sanitaria y por supuestos tener una identidad en España.</p>
";"07/09/2015 12";"67";"26";"41";"4";"840818448";"-582"
"37";"Cagadores para móviles con posibilidad de carga solar durante el día";"<p>Alguna vez nos ha pasado que un momento importante nos hemos quedado sin bateria en el móvil, y más hoy en dia casi todas las comunicaciones y muchos trámites lo hacemos por este medio, sería una buena opcion tener cargadores o posibilidad de cargar el móvil en bancos o cabinas como las antiguas de telefonica, donde si tienes una urgencia poder cargar el móvil aunque sea un pequeño porcentaje para poder hacer el trámite, podría ser pagando un pequeño importe por su uso y por evitar masificaciones.</p>
";"07/09/2015 12";"157";"66";"91";"15";"839603459";"-1050"
"38";"Finca Vista Alegre";"<p>Espero que este espacio de debate sirva para que los madrileños, incluido su gobierno local, podamos plantearnos este tema: La Finca Vista Alegre. Vetada al uso y disfrute de los vecinos de Madrid, y en particular los de Carabanchel desde hace más de 30 años.</p>

<p>Entiendo que en principio la titularidad de la finca es de la Comunidad de Madrid, y que alguno de los gobiernos del ayuntamiento han intentado, sin éxito, que se devuelva este espacio a la ciudadanía. Claro, que en treinta y tantos años no ha habido manera de que se le devuelva a sus legítimos dueños: El pueblo de Madrid.</p>

<p>Este es un espacio cuanto menos curioso, pues a pesar del veto a su uso público, ésta tiene dentro de su espacio residencias de ancianos, institutos, un conservatorio (o similar, no estoy muy seguro), y así hasta 43 instalaciones de la CAM pero oiga, unos señores muy amables (que ni pinchan ni cortan) de una empresa privada de seguridad impiden el paso a discrección.</p>

<p>Ahí lo dejo. Qué acciones, tanto por la vía administrativa como por la de la presión vecinal, se podrían tomar al respecto? Para mí, y tras tantísimos años de ""pasar"" de los vecinos, creo que una ""toma/invasión"" vecinal sería lo más adecuado. Presión vecinal a tope, televisión y otros medios, y nuestros queridos amiguitos del UIP, claro. Si el 2 de Mayo funcionó, por qué ahora no?</p>

<p>Saludos!</p>
";"07/09/2015 12";"129";"119";"10";"21";"864396986";"10055"
