"title";"body";"proposal_id";"created_at"
"¿Impulsamos la Creación de un nuevo Centro de Educación Medioambiental en Madrid?";"Te escribo para decirte que has hecho tuya esta propuesta al apoyarla. 
Es posible que, como yo, creas que la presencia de un nuevo Centro de Educación Medioambiental contribuye a mejorar el paisaje de la ciudad, a relacionarnos mejor con la madre tierra que nos alimenta, a conocer maneras de producir energía no contaminantes y renovables... 
Ahora tenemos la oportunidad de que esta idea se haga real. 
Como necesitamos muchos votos para que esto sea posible, te animo a que esta propuesta, que ya es tuya, la difundas entre tus conocidos, amigos, familia... y pidas su apoyo.  
Una cascada comienza con una primera gota de agua.
Un saludo cordial!!";"10083";"17/06/2016 12"
"Cambiar el modo de cubrir las plazas en los polideportivos";"Me parece importante realizar este cambio en la gestión de las plazas. No es normal que habiendo lista de espera en todas las actividades dirigidas, haya que estar todos los meses mirando si hay plazas y en el caso de que las hubiera tener que presentarse allí de madrugada para que cuando abran el centro poder optar a la plaza. Es un atraso que con todos los sistemas informáticos que existen en la actualidad tengamos que recurrir a estas fórmulas del pasado.
Gracias.";"6662";"17/06/2016 12"
"Separación real";"Me parece imprescindible separar las vías de tránsito de peatones y bicis en Madrid Río. ";"6507";"17/06/2016 12"
"Pasos peatonales y ciclistas para unir Retiro y Arganzuela";"Buenos días, 
Quería aprovechar esta nueva opción de comunicación entre las personas que han secundado esta propuesta, para comentar que es la más apoyada para la zona de Méndez Álvaro. Casi 600 personas han mostrado su interés en que mejore la movilidad en nuestro vecindario, algo que, sin duda, mejoraría nuestra calidad de vida. Si estáis dispuestos en crear un grupo de trabajo para conseguirlo, contad conmigo. 
Saludos,
Paz";"670";"17/06/2016 12"
"MANIFESTACION CONTRA LOS POBLADOS DE VENTA DE DROGA ";"Llevar a cabo una manifestación ,,, para que el Gobierno se haga responsable de una vez de la eliminación de poblados como la cañada real galiana ,,, donde mueren cientos de personas,,, permitiendo el Gobierno que estos traficantes saquen beneficio económico y no paguen por el delito que comenten 24horas al día los 365días del año...";"11067";"17/06/2016 12"
"Ley contra la venta de droga en poblados y cañadas";"No permitir que estos lugares existan..Y k el Gobierno no esté programando la manera de eliminar este foco de tráfico de drogas y delincuencia... ";"10475";"17/06/2016 12"
"No a los,poblados como la cañada real galiana";"No podemos permitir que el Gobierno de la espalda a un problema tan serio, están permitiendo k nuestra familia caiga en el mundo de la droga, se sabe k es el mayor mercado de venta y no lo quitan ¿Porqué?";"5776";"17/06/2016 12"
"El Gobierno debe actuar contra los traficantes de ese lugar";"K salud pública, medio ambiente y la ley de Cañadas deberían ser responsables de cada muerte por sobredosis que sucede en esos lugares, nadie hace nada, nadie paga por los delitos que allí se cometen 24 horas al día 365 días al año, fuera cañada real, fuera el gallinero  fuera todos los focos localizados y que aparentemente el Gobierno consiente.";"5787";"17/06/2016 12"
"Hay que seguir apoyando esta iniciativa";"Muy buenos días:

Os recuerdo que estamos viviendo estos úiltimos días jornadas de huelga y de paros tanto en Metro de Madrid como en Cercanías, con todas las consecuencias negativas que sufrimos todos. Y lo que es peor, no hay visos siquiera de que se solucionen en el corto plazo.

Con esta propuesta todo eso será historia. Gracias a la tecnología, los tiempos en los que un hombre debe trabajar haciendo labores totalmente repetitivas y monótonas pertenecen al siglo pasado.

Merece tenerlo todo esto en cuenta, sobre todo conociendo aspectos como que esta iniciativa ya se está llevando a cabo con éxito en otras ciudades.

¿Estamos a punto de ver como llega el coche sin condutor (https://www.enriquedans.com/2014/12/cuando-el-futuro-se-asoma-ya-a-cinco-anos-vista.html) , y todavía prentendemos que los metros sigan siendo conducidos por una persona falible?

Por favor, distribuid la propuesta entre vuestros amigos y conocidos.

Un saludo y feliz viernes a todos.";"5990";"17/06/2016 12"
"Cambio de propuesta";"Buenos días, 
he incluido está propuesta en esta otra, https://decide.madrid.es/proposals/1212. El motivo es para no diversificar apoyos y que todos podáis votar la propuesta que indico en el link.
Gracias por vuestra colaboración";"6971";"17/06/2016 13"
"para fomentar el rugby.....";"Te invito si no lo has hecho ya a votar este presupuesto participativo q esta en la votacion final, antes del dia 30 de junio: 
https://decide.madrid.es/participatory_budget/investment_projects/1605 y despues reenvia a tus contactos....gracias
Si quieres recibir informacion adicional de cuando se empieza a construir el campo y cuando se inaugura escribe a manuelcruz3@hotmail.com";"8559";"17/06/2016 15"
"Defendamos nuestro parque";"Hola,como vecinos preocupados por el Retiro, hemos fundado una asociacion vecinal llamada Retiro Norte.Nuestro objetivo es que el parque y sus barrios sean un lugar de convicencia,sin ruidos ni trafico excesivo o abusos de terrazas.Os invitamos a uniros si vivis cerca.";"2562";"17/06/2016 16"
"Abuso terracero";"Hasta la fecha seguimos sin una normativa adecuada de terrazas.Os invito a que si observais abusos terraceros los denuncieis en el 010.Hemos conseguido ya que una terraza sin alcantarillado cierre en el Retiro,pero quedan muchos dueños caraduras.No les demos tregua.Si vivis cerca de Retiro os invito a uniros a la asociacion vecinal Retiro Norte para luchar por nuestros bulevares y aceras para el peaton.";"108";"17/06/2016 16"
"hagamos fuerza";"creo que esta propuesta es interesante el ayto me dijo que no se podía realizar por no ser municipal pero creo que si hacemos fuerza y la apoyamos gente de la zona se puede forzar para que el ayto negocie con el/la dueña de la finca y consigamos este espacio para el bienestar del barrio 
";"1244";"17/06/2016 16"
"sigamos apoyando esta propuesta";"si seguimos apoyando esta propuesta aunque ya hay en marcha una operación asfalto podemos proponer mas adelante que cada año se invierta una parte del presupuesto para el mantenimiento de aceras y asfalto a por ello que todos juntos hacemos mas fuerza que un pequeño grupo
";"2348";"17/06/2016 16"
"necesito que sigais participando ";"necesito que me deis mas ideas para tipos de cursos que se os ocurran que pueden venir bien para concienciar a la gente animo que juntos podemos crear un mundo mejor";"2771";"17/06/2016 16"
"me alegro de este apoyo";"creo que esta propuesta es esencial no solo para el buen funcionamiento de las bibliotecas sino también para la propia seguridad de los usuarios que las usamos apoyadla y se hara realidad";"3806";"17/06/2016 16"
"Aceleremos esta o cualquier otra iniciativa como esta para subsanar el deficitario transporte publico";"Para que la señora Cifuentes se de cuenta de que debe de reforzar tanto los autobuses como el metro como cercanías si no quieren tener tantos problemas.";"10168";"17/06/2016 16"
"servicio reclamado  por usuarios";"no es la primera vez que tengo conversaciones sobre si tanto quiere el ayto fomentar transporte publico y limpio porque no instala aparcamientos para bicis seria un bien para todos animaros y votad por una mejor forma de cuidar nuestra ciudad ";"10677";"17/06/2016 16"
"servicio reclamado por usuarios";"servicio reclamado por usuarios

2016-06-17

no es la primera vez que tengo conversaciones sobre si tanto quiere el ayto fomentar transporte publico y limpio porque no instala aparcamientos para bicis seria un bien para todos animaros y votad por una mejor forma de cuidar nuestra ciudad 
";"10672";"17/06/2016 16"
"SI LOS AGENTES NO HAN PODIDO JUSTIFICAR BEBIDA QUE LAS RETIREN.";"LAS MULTAS QUE SE PUSIERON Y LOS AGENTES NO LLEVABAN EL  APARATO CUALIFICADO PARA SABER SI ERAN BEBIDAS ALCOHÓLICAS, DEBERÍAN DE RETIRARLAS, CANCELARLAS O PRESCRIBIR POR INSOLVENTES, YA QUE LA MAYORÍA SON JÓVENES SIN TRABAJO NI INGRESO ALGUNO Y MUCHOS NO ESTARÍAN NI BEBIENDO ALCOHOL.
TANTO EN CUANTO NO SE LES CAPACITE ADECUADAMENTE A LOS AGENTES";"1117";"17/06/2016 16"
"CALIDAD MEDIOAMBIENTAL Y EQUIDAD CON OTROS CIUDADANOS DE MADRID";"En estos más de 40 años de existencia de este tramo de la M-30 no ha existido la propuesta por parte del Ayuntamiento de aminorar la contaminación acústica de este tramo preciso.
  Los ciudadanos de los edificios de la Calle Sirio (que vieron la luz hace 38 años) han tenido que soportar más de una generación estos ruidos día y noche. NO deja de ser inaudito que no se activasen propuestas e iniciativas para corregir esta deficiencia medio-ambiental.
  Esperemos seamos tenidos en cuenta.
  ¡Muchas gracias por vuesro apoyo! ";"7820";"17/06/2016 17"
"Control de los alquileres por habitaciones en casas de vecinos";"Cada vez es más frecuente la utilización de viviendas en casas de vecinos para realquilar por habitaciones. La falta de control de esta actividad económica provoca graves inconvenientes para quienes utilizan la casa como vivienda: ruidos, desorden, suciedad, descontrol del edificio.
Esta actividad debiera regularse desde todos los puntos de vista. En la mayoría de los casos se trata de negocios clandestinos, no existe normativa sobre como ejercer esta actividad. No sé si entra en la categoría de ""apartamentos turísticos"" en todo caso, los portales de Madrid están llenos de anuncios sobre alquiler de habitaciones.";"1541";"17/06/2016 19"
"Proyecto Chamartín o Puerta Norte - También queremos proyectos así en la zona sur";"Buenas tardes.

Creo que al seguir a vueltas con el ""Proyecto Chamartín"" o ""Puerta Norte"", sería conveniente destacar esta propuesta y hacer que se valore que la inversión en la zona norte está muy bien, siempre y cuando se acompañe con inversiones y mejoras en la sur. No creando más desigualdad entre zonas.

Aquí información sobre el macro proyecto que se quiere realizar en la zona norte (y recordar que en la zona norte Madrid ha crecido con numerosas inversiones y nada en la zona sur)
http://www.expansion.com/empresas/inmobiliario/2016/05/10/57317a64ca4741071a8b459f.html";"507";"17/06/2016 20"
"Deuda con nuestros ancestros";"Apoyar todo el que se considere español de pura cepa y quiera defender sus derechos como ser humano para una España  sin desigualdad en sus hijos que un día emigraron y nunca pudieron regresar a su tierra.";"10673";"17/06/2016 22"
"El Ayuntamiento tiene el sitio perfecto y no lo sabe";"El Ayuntamiento ha rehabilitado el Palacete de los Vargas a la entrada de la Casa de Campo desde el puente del rey y no sabe qué uso darle. Este Palacete es perfecto para usarlo como biblioteca y escuela de música, ya que está en la esquina de tres distritos (centro, Latina y moncloa) y si la biblioteca abre los fines de semana, como la de Retiro, los turistas y madrileños de otros distritos podrán disfrutar también de sus actividades.";"8781";"18/06/2016 11"
"Hay que acabar con esto ya.";"¿No estáis hartxs de tener que retirar de vuestros coches publicidad de pisos, de masajes, de...? ¡Qué hartura! Encima acaban la mayoría en el suelo, ensuciando y haciendo que puedas pisarlo y resbalar en algunos casos.
Si no se hace nada al respecto habrá que empezar a poner reclamaciones en la página del Ayto : http://www.madrid.es/portales/munimadrid/es/Inicio/El-Ayuntamiento/Contactar/Sugerencias-y-reclamaciones?vgnextfmt=default&vgnextchannel=5eadc1ab4fd86210VgnVCM2000000c205a0aRCRD";"1455";"18/06/2016 13"
"Planos con la propuesta";"Si alguno tiene alguna duda y desea recibir un documento que incluye los planos que desarrolla la propuesta, le ruego me lo indique. Sería estupendo que pudiéramos incluir archivos junto con nuestra propuesta, pero si hay que funcionar a pedales, funcionaremos. Gracias";"11680";"18/06/2016 20"
"Ayuda";"Sigamos votando, no dejemos que esta zona siga así  mil gracias ! ";"10463";"18/06/2016 22"
"Las víctimas no se merecen menos.";"Os pido que mováis un poco esta propuesta por vuestras redes sociales. Con muy poco presupuesto, se podría romper la imagen dura y desagradable del monumento. Nuestras víctimas no se merecen menos. Madrid no se merece menos.";"11524";"19/06/2016 13"
"Auto-borrado de propuestas repetidas por nueva opción de reunificación de propuestas.";"Buenos dias vecino/a:
Me es grato comunicarles que desde hace recientemente poco, tiene Ud ya disponibles al lado de cada una de las propuestas que haya realizado, 2 novedosos botones.
1 les servirá para poder avisar a todas las personas que apoyaron su propuesta, para que apoyen otra con la que se unifica para poder agrupar apoyos y que no se pierdan estos dispersos en muchas propuestas idénticas, pero con pocos apoyos cada una.
También tienen un nuevo botón para poder auto-borrar/retirar aquellas propuestas que consideren que ya se han llevado a la práctica, se han quedado obsoletas, ya no tienen sentido, se han unificado, etc.
Si todos limpiamos las propuestas que tangamos repetidas, nos puede quedar una web bastante limpia y sin caos de propuestas repetidas.
Gracias anticipadas por su colaboración.";"6879";"19/06/2016 19"
"Compartir la propuesta";"Compartir la propuesta para que lleguen a más gente, y así poder enviarla a los responsables del ayuntamiento para que puedan hacer algo.

Un saludo y muchas gracias!";"11840";"19/06/2016 19"
"Plan de rehabilitación de edificios";"Después de publicar esta propuesta y en consonancia con otras realizadas, el ayuntamiento aprobo un plan similar, muchas gracias a todos los que lo habéis apoyado.

Mas información en: http://www.madrid.es/portales/munimadrid/es/Inicio/Vivienda-y-urbanismo/Plan-Municipal-de-Impulso-a-la-Regeneracion-Urbana?vgnextfmt=default&vgnextoid=e000cb5ee0993510VgnVCM1000001d4a900aRCRD&vgnextchannel=593e31d3b28fe410VgnVCM1000000b205a0aRCRD ";"2617";"19/06/2016 20"
"Eliminar los festejos taurinos y las subvenciones";"En primer lugar gracias por apoyar esta propuesta. En segundo lugar dejos aquí esta otra propuesta: https://decide.madrid.es/proposals/105-eliminar-los-festejos-taurinos-y-las-subvenciones Tal vez ya la apoyasteis , la dejo aquí por si a caso. Es muy parecida a la mía. No conozco a la persona que la hizo, pero estoy difundiéndola porque, es la propuesta relacionada con los derechos de los animales que más apoyos tiene y el 15 de septiembre dejara de recibirlos. Aunque deje esta propuesta aquí, no es porque no haya otras igual o más interesantes, que haya que seguir apoyando. Porque aunque no se consigan los apoyos necesarios (54000) creo que son importantes como motivo de protesta.";"402";"20/06/2016 11"
"Eliminar los festejos taurinos y las subvenciones";"En primer lugar gracias por apoyar esta propuesta. En segundo lugar dejos aquí esta otra propuesta: https://decide.madrid.es/proposals/105-eliminar-los-festejos-taurinos-y-las-subvenciones Tal vez ya la apoyasteis , la dejo aquí por si a caso. Es muy parecida a la mía. No conozco a la persona que la hizo, pero estoy difundiéndola porque, es la propuesta relacionada con los derechos de los animales que más apoyos tiene y el 15 de septiembre dejara de recibirlos. Aunque deje esta propuesta aquí, no es porque no haya otras igual o más interesantes, que haya que seguir apoyando. Porque aunque no se consigan los apoyos necesarios (54000) creo que son importantes como motivo de protesta.";"10794";"20/06/2016 11"
"Paremos la reunión de Traficantes de Armas en Madrid";"De cara a la ya próxima (marzo 2017) reunión de traficantes de armas en la ciudad de Madrid (IFEMA), hay asociaciones y personas que nos gustaría trabajar en varias líneas para intentar evitarla. De no ser posible, la denunciaríamos.
Si quieres más información, ponte en contacto conmigo.
Un saludo.";"10473";"20/06/2016 13"
"Cursos de educación canina";"Saludos a todos y a todas. Gracias por haber participado   en esta propuesta.
De nuevo os pido apoyo y difusión de la misma en vuestros círculos. 

";"4541";"20/06/2016 14"
"APOYAR OTRA PROPUESTA";"Buenas compañeros,
 Me dirijo a todos para que también apoyéis a la siguiente propuesta:
""Contratos sin posiblidad de blindaje y no más allá de la lesgislatura.""
De la usuaria ManjiChiba, dado que propone algo muy similar a mi propuesta, la cual habéis apoyado, de hecho ha agregado cosas de mi propuesta para hacer más completa la suya, y tiene más apoyos que la mía, por lo que es más posible ahora mismo que salga adelante, y eso es realmente lo que nos interesa, que las buenas propuestas salgan adelante.
Gracias a todos y un saludo";"10931";"20/06/2016 16"
"Gracias por vuestro apoyo";"Estamos tambien en change  haciendo fuerza, cuantos mas seamos mucho mejor, por favor compartir y difundir las cosas deben cambiar. Un saludo de corazon.
https://www.change.org/p/ayuntamiento-de-madrid-cambiar-la-ley-de-usurpacion-de-viviendas-de-forma-ilegal?recruiter=17874868&utm_source=petitions_share&utm_medium=copylink";"11571";"20/06/2016 18"
"retirar los bolardos de la calle de la Palma";"Intransitable, imposible ir por las miniaceras de la calle de la Palma.  Los bolardos son inútiles y causan moratones en las piernas.";"1898";"20/06/2016 20"
"limpieza en las terrazas";"Las terrazas se han convertido en un basurero, servilletas, vasos de papel, colillas. Obligar a los dueños a tenerlas limpias.";"1783";"20/06/2016 20"
"Muy cerca del campo de rugby para Fuencarral";"Hola!! En primer lugar quiero agradecerte el apoyo que diste a la propuesta. Estamos muy cerca de conseguirlo ya que está habiendo mucho apoyo por parte del barrio y del resto de Madrid relacionado con el rugby. Sólo nos falta un último empujón para que salga adelante antes del cierre de votaciones el 30 de junio.
Por eso te pido que le dediques un poco, muy poco, de tu tiempo a votar este proyecto que te paso, que es el que ha seguido adelante. 
MIL GRACIAS EN NOMBRE DEL DEPORTE, DEL RUGBY Y DEL SAN ISIDRO.
https://decide.madrid.es/participatory_budget/investment_projects/1605 ";"9617";"20/06/2016 20"
"que asco de Malasaña!!!";"https://m.facebook.com/YO-TAMBIEN-ODIO-LAS-PINTADAS-123852680998413/
Cada vez mas guarro, no hay control, no sanción. Los vándalos son los reyes de la zona.";"1571";"20/06/2016 20"
"Parada de metro";"Hola! Entre urgel,oporto,vista alegre y carpetana hemos quedado aislados los que vivimos en toda esa zona. Necesitamos una boca de metro en la zona de calle toboso con matilde hernandez ya que minimo son 15 minutos andando para llegar a cualquiera de las estaciones mencionadas.";"11283";"20/06/2016 21"
"Crear mobiliario deportivo en parque de Paraiso de San Blas";"Crear mobiliario deportivo en parque de Paraiso de San Blas";"11849";"20/06/2016 23"
"INSTALACIÓN DE MARQUESINA LINEAS EXPRES E2 LAS MUSAS";"APOYA LA SOLICITUD EN BENEFICIO DE TOD@S.";"11837";"21/06/2016 17"
"CREACIÓN DE CENSO Y PLATAFORMA DE GESTIÓN DIRECTA DE ESPACIOS PÚBLICOS";"EN BENEFICIO DE TOD@S APOYA ESTA SOLICITUD.";"11835";"21/06/2016 17"
"Eliminar publicidad en los vagones de Metro.";"Buenos dias vecinos.
Quisiera invitarles a todos Uds. a que apoyen la propuesta ""Eliminar publicidad en ventanillas de vagones de metro"" de la vecina Susana Fan, pues la mia es básicamente la misma, y ahora que ya se ha implementado esta nueva opción, les insto a apoyar la otra por fusión/agrupación de la mia en la suya (dentro de unos 10 días procederé a borrar esta).
Gracias por su colaboración.";"6001";"22/06/2016 20"
"Mercado de abastos en el barrio Madrid-Sur";"¿No te gustaría tener un mercado municipal en tu barrio? ¿Estas harto de los hipermercados de una sola marca?";"11945";"23/06/2016 16"
"Por una mejor Educación Pública!";"Ampliar hasta la E.S.O todos los colegios publicos!";"11803";"23/06/2016 20"
"HABILITAR ZONA PARA PERRO EN LA FUENTE DEL BERRO";"Ayuda a que los perros puedan tener una zona de perros y puedan jugar libremente, protegiendo a la vez el parque y sus usuarios.";"11969";"24/06/2016 15"
"Residencia ";"En Vicalvaro, siempre hemos vivido el abandono de la administración y todo lo que tenemos ha sido logrado siempre por la fuerza de los vevinos. 
La falta de residencias, pisos tutelados para mayores es una carencia más. 
Aquí solo invierten para hacerlas de lujo sin podobilidad de acceso a personas con pensiones bajas. 
Y para tener a nuestros padres atendidos como se merecen hay que llevarlos a pueblos donde Dios perdió el gorro ....por lo que es casi imposible ir a verlos como nos gustaría porque hay que echar tortilla para llegar. ";"11977";"24/06/2016 18"
"Abono transporte para todas las zonas.";"Creo que debería existir un abono transporte que sirviese para todas las zonas y no costase más de 50 euros para todo el mundo no solo para juvilados y jóvenes. ";"11972";"24/06/2016 20"
"Propuesta de uso de parcelas como huertos urbanos urbanos";"Utilización de parcelas sin uso, en el PAU de Carabanchel, como huertos urbanos, comunitarios.";"11981";"24/06/2016 20"
"Semaforo para regular la incorporacion a la M30 desde la calle Arregui y Aruej";"Se necesita urgentemente un semaforo para regular esta incorporación. Es muy peligrosa ya que los coches que circulan por la M30 vienen muy deprisa. Es un autentico peligro...";"12010";"25/06/2016 18"
"INAPROPIADOS";"Propongo marcar como inapropiados a todos los hosteleros de España. Y los que tengan terraza que se vistan con pijama de rayas y les ponemos una marca para poder identificarlos bien e insultarles. Y que por supuesto ningún ciudadano decente se le ocurra jamás sentarse en una terraza a tomarse ni una caña. Empecemos a boicotear a esos clientes y luego las terrazas sin Clientes dejaran de existir. Hitler también fue elegido en las urnas democráticamente. Sigamos su ejemplo! vamos a marcar como inadecuado a todo el que no piense igual que nosotros. ";"10896";"26/06/2016 02"
"Eliminar la cuesta de la Calle Comercio";"¿Desea eliminar la cuesta de la Calle Comercio?";"12046";"26/06/2016 14"
"Porque no arreglan el túnel que une Virgen del Puerto con Paseo de Rey?";"En mi vida he visto que un túnel que es primordial para evitar los atascos, permanezca cerrado desde noviembre 2015, y no hayan hecho absolutamente nada, ni un operario se ve por allí, lo único que hay en el túnel son hojas.";"11834";"27/06/2016 08"
"Carril bici seguro";"Que ir en bicicleta por Madrid no suponga un peligro";"5119";"27/06/2016 10"
"Chorros del parque juan Carlos 1";"Reapertura de la fuente en condiciones";"11748";"27/06/2016 12"
"Que NO se puedan borrar propuestas superiores al año con más de 100 apoyos.";"Buenos días vecinos:
Quería avisarles de que modificado ligeramente mi propuesta inicial, añadiendo un caso excepcional en que si se podrían borrar las propuestas con más de 100 apoyos pasado el año, y es, en aquellos casos que su titular lleve sin conectarse más de 2 meses consecutivos.
Disculpen las molestias, seguimos trabajando para mejorar la propuesta. ";"11641";"27/06/2016 12"
"Sanciones para conductas incivicas";"Tenemos que actuar ante todo lo que vemos. Defender poder pasear sin tener que ver cómo orinan, discuten, beben...";"8358";"27/06/2016 12"
"Os paso más propuestas que creo que os pueden interesar";"Gracias por apoyar esta propuesta aquí os dejo otras relacionadas con los derechos de los animales :Permitir a los humanos llevar una vida normal junto a sus no humanos :https://decide.madrid.es/proposals/10602-permitir-a-los-humanos-llevar-una-vida-normal-junto-a-sus-no-humanos. Recopilación de propuestas relacionadas con toros: https://decide.madrid.es/proposals/8930-recopilacion-de-propuestas-relativas-a-toros Recopilación propuestas relativas a mascotas: https://decide.madrid.es/proposals/9073-recopilacion-de-propuestas-relativas-a-perros-y-mascotas Cualquier persona que tenga una propuesta de derechos de los animales me pueda mandar un mensaje para que mande una notificación.";"402";"27/06/2016 15"
"Reubicar el busto de Clara Campoamor a un sitio más digno.";"Clara Campoamor fue una mujer que contribuyó enormemente a la democracia española, consiguiendo el derecho de voto a las mujeres. Sin embargo, en Madrid su figura se ve conmemorada en una plaza, La Plaza Guardias de Corps, a través de un pequeño busto que se encuentra rodeado de cacas de perro, contribuyendo a crear una imagen metafóricamente nada buena para una mujer que defendió en las Coretes republicanas los derechos de las mujeres.

En un país democrático la figura de esta gran mujer debería ocupar un lugar más destacado en la capital española para que todas las madrileñas y madrileños, y todas las personas que nos visiten conozcan a una de las mujeres que más ha contribuido en lograr la igualdad entre mujeres y hombres.";"6202";"27/06/2016 15"
"Fuentes de fácil ""bebida""";"Fuentes con el chorro para arriba y con escalones para niñ@s";"5941";"27/06/2016 18"
"Dando las gracias y pidiendo apoyo";"En primer lugar, quero agradeceros que hayáis apoyado esta propuesta. Os agradecería, asimismo,  que se la comuniquéis a las perosnas que conozcáis y que dispongan de los medios digitales precisos. Gracias de nuevo.
Un cordial saludo.
Fernando";"8813";"27/06/2016 19"
